========== INFO ==========
Create Date: 2021-01-11
Last Reply: 
能把我的技能还给我吗……我有自我恢复的技能……「啊……！』看着睡在姐姐房间床上的我，米奇希科好像有很多话要说，但我也知道现在是不能这么说的状况 。
相当烦恼的结果，「我明白了」他一伸出手，就感觉到我的脑子里变得清晰了 。
到了喉咙口的话好像舒畅地说出来了，那种畅快的心情 。
同时我很快就想起了现在应该做的事 。
「「细胞修复」……！』从贫民窟夺走的技能 。
无论受什么伤都能马上治好的恢复魔法中超高级的技能 。
贫民窟系的怪物几乎都有这个技能，但在使用前几乎都被打倒了 。
效果很戏剧化，在三途之河的前一步我一瞬间就痊愈了 。
尽管如此，也是因为流血过多，头摇摇晃晃的 。
「啊……得救了 。
谢谢你的米基希科」「没有别的理由道谢 。
姐姐的请求，本来应该是埃利奥拉干的吧」「尽管如此还是谢谢你」抬起上半身，看米基希科复杂的表情 。
尽管错综复杂，但这样和他说话是最大的目的 。
想说的话一大堆，首先是提案 。
「喂，米基希科 。
让我入伙吧」「不要啊」一瞬间就被拒绝了 。
「我不能让不知道什么时候会背叛你的对方成为惠惠的伙伴吗？我的伙伴只有姐姐就够了」「等等，听我说 。
这对彼此都有好处」「好处……？」普通的转移者应该不知道的情报，我知道 。
这到了现在是很大的优势 。
「那个，魔王的讨伐多人也能做到 。
那个时候一起战斗的人都能得到打败魔王的报酬哦」「嗯……？」米奇希科和萤火虫吓了一跳 。
果然不知道还是说不知道是理所当然的 。
「你为什么能说出那种话来？」「我有过打倒魔王一次的经验 。
不是谎言 。
和另一个超强的伙伴一起打倒了格奥尔恩以北的城堡魔王」「……即使这么说也无法证明吧」「召唤」「我一打响手指，房间里就出现了魔法阵 。
从那里跳出来的是费德尔林茨 。
「嗨，娜奥特 。
你又想再来了吗？」「真的，魔族！？」立刻摆好架势的米奇科 。
剑像庇护萤火虫一样指向他，「嘿，费德尔 。
告诉这家伙 。
我有讨伐魔王的经验」「嗯？没那么简单吧 。
看我的状态就行了」费德尔林茨这么说，身体暴露在米奇希科和萤火虫面前 。
看看她的状态就知道了吧 。
因为征服了这么强的魔族 。
「100级……？为什么像娜奥特这样的家伙能召唤这么强的魔族」「重新来过了，再来一次 。
从一级开始」「为什么……？如果打败了魔王，回到原来的世界不就好了吗？」「各种各样的失败了吗 。
不得不重做了」「…………是吗」放下剑的米奇科 。
「现在的说明能接受吗？」「我在考虑可能性 。
即使打败了魔王，如果失去了重要的人，我也不想回到原来的世界 。
我想再试一次」这样说着看萤火虫 。
这家伙也有重要的人——为了让她五体满意地回到原来的世界而战斗着 。
所以才不能相信其他人吗？简直就像看着我自己一样 。
话说……我是被周围的人这样看待的吗？有点奇怪，嗯 。
「既然如此，就拜托你了，米奇希」「等等，我还不同意」「你觉得萤火虫怎么样？」「和姐姐没关系吧！』只是搭话，这个剑幕 。
「有关系吧 。
不仅仅是你的问题 。
萤火虫也是一起打败魔王的伙伴吧？不然就拿不到「愿望券」了？「啊…………！」米基希科懊悔地看着萤火虫 。
虽然说是为了保护她，但我觉得有点过度保护了 。
「我……纳奥特先生看起来不是那么坏的人」兢兢业业地说着的萤火虫 。
「但是我也几乎接近初次见面，所以还不知道」嗯，也是如此 。
警戒心很强的不仅仅是米基希科 。
看不出是第一次见面就被搭讪跟着惠惠的类型，在这个世界上会死于那样的家伙 。
「但是，我相信你打倒了魔王一次」「姐姐……！」「所以，能让我再考虑一下吗？」坚决的态度拒绝 。
比弟弟更坚决的拒绝方式 。
那里好像很大 。
「啊，好的 。
」米基希科不会再反驳萤火虫的决定，即使承认也可以吧 。
至少如果你觉得我不是敌人，那就行了 。
我也不会排除珍贵的伙伴 。
而且——萤火虫是美人，是巨乳，但总的来说，我更在意米基希科 。
小鬼特有的猪突猛进，和像我这样被人背叛的人特有的消极想法 。
这种地方造就了与健治不同的「危险」 。 
